7,7,4,11,0,15,6,15,7,4,8,3,1,8,14,14,5,1,3,12,4 = 7 1,17 1,3,12,12,5,4,17,9,0,6,5,5,2,16,15,13,5,2,18,16
15,13,16,14,6,3,7,5,16,13,1,3,13,13,10,9,14,11,13,0,9 = 15 1,3 1,10 1,13 1,16 1,10,15 1,4,7,18 1,7,8,12,11 1,5,11,6,10,10,11,5
1,16,18,18,8,16,8,7,6,14,2,2,15,8,16,8,14,11,12,9,15 = 1,5 1,12 1,18,13,9,6,1,11,7,6,5,13,13,2,11,13,1,15,0,5
13,3,1,14,2,9,5,15,4,4,17,4,0,11,4,13,6,18,1,2,1 = 13 1,8 1,11 1,18,13,14,0,1,5 1,10,7,6,3,18,9,1,12,18,1,17,1
4,7,6,4,8,3,13,14,14,0,7,9,0,11,8,11,10,3,12,18,2 = 4 1,8^2 1,16 1,17 1,0,11 1,12,10,4,3,10 1,12,10,8,5,7,15,13,13,16
2,13,18,4,12,10,4,5,0,4,15,18,14,7,5,7,13,10,11,12,13 = 2 1,16 1,16,14 1,17,14,10,15,0,8 1,5,0,14,16,9,8,10,3,13,10,9
9,18,3,6,11,10,5,2,7,5,4,5,2,15,0,18,7,17,18,18,15 = 9 1,2,7,5 1,7,8,5,6,15 1,11,16,1,10,7 1,1,1,7,1,17,1,7
15,12,0,10,17,10,7,3,10,0,13,8,12,5,9,4,2,1,9,17,7 = 15 1,18 1,12,7,13,16 1,5,7,6,3,1,11,2,7,7,16,4,2,6,15,1
4,2,15,11,11,4,3,18,0,13,14,12,14,9,7,0,2,15,6,4,11 = 4 1,12 1,7,3 1,9,17,3 1,11,11,8,1 1,14,2,7,11 1,14,15,6,2,9,15
12,18,10,3,3,8,4,2,6,3,8,4,3,4,14,18,2,2,12,14,13 = 12 1,6 1,16,11 1,0,6,6 1,8,0,18,15,8,1,1,2,14,2,10,10,14,16
