7,7,4,11,0,15,6,15,7,4,8,3,1,8,14,14,5,1,3,12,4
15,13,16,14,6,3,7,5,16,13,1,3,13,13,10,9,14,11,13,0,9
1,16,18,18,8,16,8,7,6,14,2,2,15,8,16,8,14,11,12,9,15
13,3,1,14,2,9,5,15,4,4,17,4,0,11,4,13,6,18,1,2,1
4,7,6,4,8,3,13,14,14,0,7,9,0,11,8,11,10,3,12,18,2
2,13,18,4,12,10,4,5,0,4,15,18,14,7,5,7,13,10,11,12,13
9,18,3,6,11,10,5,2,7,5,4,5,2,15,0,18,7,17,18,18,15
15,12,0,10,17,10,7,3,10,0,13,8,12,5,9,4,2,1,9,17,7
4,2,15,11,11,4,3,18,0,13,14,12,14,9,7,0,2,15,6,4,11
12,18,10,3,3,8,4,2,6,3,8,4,3,4,14,18,2,2,12,14,13
